#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2018 09 21 16 50 160  5.0  7.0   1.1    11   5.4  97 1023.4  18.6  20.2  14.8   MM -2.1    MM
2018 09 21 15 50 150  4.0  6.0   1.1    11   5.2 124 1024.5  18.4  20.2  14.8   MM -0.9    MM
2018 09 21 14 50 140  5.0  6.0   1.1    10   5.6  99 1025.2  18.4  20.1  14.3   MM -0.6    MM
2018 09 21 13 50 140  5.0  8.0   1.1    11   5.5 123 1025.5  18.5  20.1  14.0   MM -0.5    MM
2018 09 21 12 50 130  6.0  8.0   1.2     8   5.9 113 1025.4  18.5  20.1  14.3   MM +0.0    MM
2018 09 21 11 50 130  4.0  5.0   1.0     8   5.7 118 1025.8  18.7  20.1  14.1   MM +0.7    MM
2018 09 21 10 50 140  2.0  4.0   1.2    10   5.9 103 1026.0  18.3  20.1  13.9   MM +1.1    MM
2018 09 21 09 50 130  3.0  4.0   1.2    11   5.5 117 1025.3  18.3  20.2  14.1   MM +0.6    MM
2018 09 21 08 50 110  4.0  5.0   1.0    10   5.1 108 1025.1  18.4  20.2  14.3   MM -0.0    MM
2018 09 21 07 50 130  3.0  5.0   1.0    11   5.0  96 1024.9  18.4  20.2  14.3   MM -0.4    MM
2018 09 21 06 50 160  5.0  6.0   1.1    11   4.9 123 1024.7  18.3  20.3  15.3   MM -0.5    MM
2018 09 21 05 50 130  5.0  7.0   1.2     8   5.1 115 1025.1  18.4  20.4  15.0   MM -0.6    MM
2018 09 21 04 50 130  5.0  6.0   1.2    11   5.2 111 1025.3  18.4  20.4  15.2   MM +0.0    MM
2018 09 21 03 50 120  6.0  7.0   1.3     8   5.4 110 1025.2  18.6  20.3  15.1   MM +0.3    MM
2018 09 21 02 50 110  4.0  6.0   1.2     8   5.1 109 1025.7  18.5  20.3  15.3   MM +1.3    MM
2018 09 21 01 50 110  5.0  8.0   1.2     8   5.3 118 1025.4  18.3  20.2  16.1   MM +1.4    MM
2018 09 21 00 50 100  5.0  7.0   1.0    11   5.2 121 1024.9  18.4  20.3  15.7   MM +1.1    MM
2018 09 20 23 50 110  4.0  6.0   1.0     8   4.9 108 1024.4  18.6  20.3  15.7   MM +0.7    MM
2018 09 20 22 50  90  5.0  6.0   0.9     7   4.7  98 1024.0  18.6  20.3  15.5   MM +0.4    MM
2018 09 20 21 50  90  6.0  7.0   0.9     9   4.5 120 1023.8  18.6  20.4  16.1   MM +0.5    MM
2018 09 20 20 50  90  6.0  7.0   0.9     9   4.4 109 1023.7  18.5  20.5  16.3   MM -0.0    MM
2018 09 20 19 50  60  5.0  6.0   1.0     5   4.3  73 1023.6  19.0  20.5  15.5   MM -0.0    MM
2018 09 20 18 50  50  7.0  8.0   1.1     5   4.3  87 1023.3  19.2  20.5  15.2   MM -0.4    MM
2018 09 20 17 50  50  6.0  8.0   1.1     5   4.2  66 1023.6  19.1  20.3  15.4   MM +0.3    MM
2018 09 20 16 50  40  7.0  9.0   1.2     5   4.2  58 1023.8  18.8  20.3  15.8   MM +0.8    MM
2018 09 20 15 50  20  7.0  9.0   1.2     5   4.2  57 1023.7  18.3  19.9  15.8   MM +1.9    MM
2018 09 20 14 50  30  7.0  9.0   1.3     6   4.5  77 1023.3  18.2  19.9  15.4   MM +2.4    MM
2018 09 20 13 50  10  7.0  9.0   1.4     6   4.5  68 1023.0  17.7  20.1  15.5   MM +3.0    MM
2018 09 20 12 50  20  8.0  9.0   1.4     5   4.5  53 1021.8  17.8  20.0  15.5   MM +2.5    MM
2018 09 20 11 50  20  9.0 11.0   1.7     6   4.8  72 1020.9  18.0  20.0  15.5   MM +1.9    MM
2018 09 20 10 50  50  8.0 10.0   1.6     6   4.7  65 1020.0  17.9  20.1  15.2   MM +1.5    MM
2018 09 20 09 50  40  9.0 11.0   1.8     6   5.0  65 1019.3  17.8  20.1  15.1   MM +0.8    MM
2018 09 20 08 50  30 10.0 12.0   1.7     6   4.9  66 1019.0  18.0  20.2  14.8   MM +0.8    MM
2018 09 20 07 50  40  9.0 11.0   1.8     6   5.0  61 1018.5  18.0  20.2  14.6   MM +0.0    MM
2018 09 20 06 50  40  9.0 10.0   1.8     6   4.9  77 1018.5  17.8  20.2  14.6   MM +0.4    MM
2018 09 20 05 50  30  9.0 12.0   2.0     6   5.0  64 1018.2  17.7  20.3  14.4   MM +0.7    MM
2018 09 20 04 50  30 10.0 11.0   1.7     6   4.8  76 1018.3  18.1  20.4  14.5   MM +1.4    MM
2018 09 20 03 50  40  9.0 11.0   1.7     6   4.9  76 1018.1  18.0  20.4  14.8   MM +2.0    MM
2018 09 20 02 50  50  9.0 11.0   1.6     6   4.7  60 1017.5  17.9  20.6  15.3   MM +1.9    MM
2018 09 20 01 50  50 10.0 11.0   1.5     6   4.6  76 1016.9  18.1  20.6  15.6   MM +1.6    MM
2018 09 20 00 50  60  8.0 11.0   1.5     5   4.5  70 1016.1  18.6  20.6  16.0   MM +2.0    MM
2018 09 19 23 50  60  9.0 11.0   1.5     6   4.4  73 1015.6  19.2  20.7  16.7   MM +2.2    MM
2018 09 19 22 50  30  8.0 10.0   1.3     5   4.4  68 1015.3  19.5  20.7  16.8   MM +2.0    MM
2018 09 19 21 50  50  8.0 10.0   1.2     5   4.3  67 1014.1  19.8  20.8  17.1   MM +1.2    MM
2018 09 19 20 50  40  6.0  8.0   1.3     5   4.4  71 1013.4  20.0  20.8  17.8   MM +0.6    MM
2018 09 19 19 50  50  7.0  8.0   1.3     5   4.3  55 1013.3  19.8  20.8  17.8   MM +0.5    MM
2018 09 19 18 50  40  8.0  9.0   1.2     5   4.4  55 1012.9  19.8  20.8  17.9   MM +0.4    MM
2018 09 19 17 50  30  8.0 10.0   1.2     4   4.3  39 1012.8  19.9  20.8  18.3   MM +0.7    MM
2018 09 19 16 50  30  8.0  9.0   1.2     4   4.2  46 1012.8  19.6  20.9  18.9   MM +1.6    MM
2018 09 19 15 50  20  7.0  9.0   1.1     4   4.1  36 1012.5  20.2  20.9  19.1   MM +1.9    MM
2018 09 19 14 50  30  7.0  9.0   1.0     7   4.4 178 1012.1  20.1  20.9  19.6   MM +1.9    MM
2018 09 19 13 50  40  5.0  6.0   0.9     7   4.5 181 1011.2  20.6  20.9  20.3   MM +1.8    MM
2018 09 19 12 50  20  6.0  7.0   1.0     7   5.1 173 1010.6  20.1  20.9  19.9   MM +1.9    MM
2018 09 19 11 50 360  5.0  7.0   0.9     6   5.6 175 1010.2  19.6  20.9  19.6   MM +2.0    MM
2018 09 19 10 50 340  3.0  4.0   1.0     7   5.7 182 1009.4  19.6  20.8  19.6   MM +1.3    MM
2018 09 19 09 50  10  1.0  2.0   0.9     7   5.7 182 1008.7  19.6  20.8  19.6   MM +0.4    MM
2018 09 19 08 50  10  2.0  3.0   1.0     7   5.7 184 1008.2  20.1  20.9  20.0   MM +0.0    MM
2018 09 19 07 50  40  2.0  3.0   1.2     7   6.0 187 1008.1  20.6  20.9  20.4   MM +0.5    MM
2018 09 19 06 50  MM  0.0  1.0   1.1     7   5.8 187 1008.3  20.8  21.0  20.5   MM +0.5    MM
2018 09 19 05 50  MM  0.0  1.0   1.1     7   5.9 175 1008.0  21.0  21.1  20.5   MM -0.0    MM
2018 09 19 04 50  10  3.0  4.0   1.1     7   5.7 192 1007.6  21.3  21.1  20.6   MM +0.0    MM
2018 09 19 03 50 350  4.0  6.0   1.2     7   5.8 186 1007.8  21.3  21.2  20.8   MM +0.5    MM
2018 09 19 02 50 360  3.0  5.0   1.3     7   5.6 187 1007.8  21.4  21.3  20.9   MM +0.4    MM
2018 09 19 01 50 350  5.0  7.0   1.4     7   6.0 178 1007.7  21.3  21.2  21.2   MM +0.5    MM
2018 09 19 00 50  MM  0.0  1.0   1.4     7   5.6 184 1007.3  21.4  21.2  21.4   MM +0.4    MM
2018 09 18 23 50 350  1.0  2.0   1.5     7   5.6 168 1007.4  21.5  21.2  21.5   MM +0.4    MM
2018 09 18 22 50 340  1.0  3.0   1.5     7   5.4 159 1007.2  21.7  21.1  21.7   MM   MM    MM
2018 09 18 21 50  MM  0.0  1.0   1.6     6   5.6 181 1006.9  22.0  21.2  22.0   MM +0.0    MM
2018 09 18 20 50 260  2.0  4.0   1.8     7   5.5 196 1007.0  22.0  21.2  21.9   MM -0.4    MM
2018 09 18 18 50 220  7.0  8.0   1.9     6   5.3 213 1006.8  22.6  21.3  22.3   MM -1.0    MM
2018 09 18 17 50 220  8.0  9.0   1.7     6   5.0 202 1007.4  22.8  21.3  22.3   MM -1.0    MM
2018 09 18 16 50 220  7.0  9.0   1.8     6   4.9 201 1007.6  22.7  21.4  22.1   MM -1.3    MM
2018 09 18 15 50 220  8.0 10.0   1.7     5   4.8 207 1007.8  22.9  21.1  22.2   MM -1.8    MM
2018 09 18 14 50 210  9.0 11.0   1.5     5   4.6 205 1008.4  22.9  21.1  22.1   MM -1.9    MM
2018 09 18 13 50 200  8.0 11.0   1.4     9   4.9 105 1008.9  22.9  21.0  22.0   MM -1.7    MM
2018 09 18 12 50 200  7.0 10.0   1.2     4   4.5 195 1009.6  22.8  21.0  22.1   MM -1.4    MM
2018 09 18 11 50 200  7.0  8.0   1.2    10   4.5 113 1010.3  22.7  20.9  22.0   MM -1.1    MM
2018 09 18 10 50 190  7.0  8.0   1.1     4   4.6 197 1010.6  22.6  21.0  22.0   MM -1.7    MM
2018 09 18 09 50 190  6.0  7.0   1.0     9   4.7 142 1011.0  22.6  21.1  21.9   MM -2.1    MM
2018 09 18 08 50 190  6.0  8.0   0.9     8   5.0 102 1011.4  22.9  21.1  21.9   MM -2.5    MM
2018 09 18 07 50 190  5.0  6.0   1.0     9   5.9 133 1012.3  22.6  21.2  21.4   MM -2.3    MM
2018 09 18 06 50 180  4.0  5.0   0.9     9   5.7 154 1013.1  22.3  21.2  21.6   MM -1.9    MM
2018 09 18 05 50 190  3.0  4.0   0.8     8   6.0 130 1013.9  22.3  21.1  21.9   MM -1.6    MM
2018 09 18 04 50 180  3.0  4.0   0.9     8   6.6 148 1014.6  22.3  21.2  21.7   MM -1.5    MM
2018 09 18 03 50 180  3.0  4.0   0.9     9   6.5 139 1015.0  22.3  21.3  21.7   MM -1.5    MM
2018 09 18 02 50 180  2.0  3.0   0.9    10   7.2 104 1015.5  22.2  21.5  21.7   MM -1.1    MM
2018 09 18 01 50 190  2.0  3.0   1.0     9   7.7 185 1016.1  22.3  21.6  21.8   MM -1.1    MM
2018 09 18 00 50 180  2.0  3.0   0.9    10   7.2 143 1016.5  22.1  21.7  21.9   MM -1.2    MM
2018 09 17 23 50  MM  0.0  2.0   1.0    10   7.7 160 1016.6  22.0  21.9  21.7   MM -1.5    MM
2018 09 17 22 50  MM  0.0  2.0   0.9    10   7.6 132 1017.2  22.0  21.8  21.7   MM -1.5    MM
2018 09 17 21 50  MM  0.0  1.0   0.9    10   7.3 123 1017.7  21.9  21.8  21.6   MM -1.7    MM
2018 09 17 20 50 170   MM   MM   0.9    10   7.5 135 1018.1  21.9  21.9  21.5   MM -1.8    MM
2018 09 17 19 50 170   MM   MM   0.9    10   7.7 140 1018.7  21.9  21.9  21.5   MM -1.8    MM
2018 09 17 18 50 170   MM   MM   0.9    12   7.4 150 1019.4  21.9  21.9  21.3   MM -1.6    MM
2018 09 17 17 50 170   MM   MM   0.9    10   7.1 117 1019.9  21.9  21.9  21.0   MM -1.6    MM
2018 09 17 16 50 170   MM   MM   0.9    10   7.2 137 1020.5  21.8  21.8  20.9   MM -1.1    MM
2018 09 17 15 50 170   MM   MM   0.9    11   7.3 176 1021.0  21.7  21.6  20.7   MM -0.9    MM
2018 09 17 14 50  MM  0.0  2.0   1.0    11   7.5 172 1021.5  21.5  21.5  20.4   MM -0.7    MM
2018 09 17 13 50 170   MM   MM   0.9    11   7.4 154 1021.6  21.6  21.4  19.8   MM -0.5    MM
2018 09 17 12 50 170   MM   MM   1.0     8   7.2 183 1021.9  21.2  21.2  20.3   MM -0.4    MM
2018 09 17 11 50 170   MM   MM   1.1     8   7.6 179 1022.2  21.2  21.2  20.4   MM +0.0    MM
2018 09 17 10 50 170   MM   MM   1.1    11   7.8 159 1022.1  20.8  21.1  19.7   MM -0.3    MM
2018 09 17 09 50 170   MM   MM   1.0    12   7.5 148 1022.3  20.8  21.1  19.4   MM -0.4    MM
2018 09 17 08 50 170   MM   MM   1.1     9   7.8 173 1022.3  20.9  21.1  19.5   MM -0.8    MM
2018 09 17 07 50 170   MM   MM   1.2    11   8.0 154 1022.4  20.9  21.2  19.9   MM -0.7    MM
2018 09 17 06 50 170   MM   MM   1.1    10   8.1 169 1022.7  20.9  21.4  20.0   MM -0.6    MM
2018 09 17 05 50 170   MM   MM   1.1    10   8.2 161 1023.1  20.9  21.4  20.0   MM -0.3    MM
2018 09 17 04 50 170   MM   MM   1.2     9   8.1 169 1023.1  21.0  21.5  20.0   MM +0.0    MM
